Source,location,lat,long
"Marret et al., 1147",Y570,76.27,-74.66
"Marret et al., 1146",Y571,76.38,-77.41
"Marret et al., 1145",Y572,78.99,-73.33
"Marret et al., 1144",Y573,77.34,-76.48
"Marret et al., 1143",Y574,76.99,-75
"Marret et al., 1142",Y575,76.29,-72.03
"Marret et al., 1141",Y576,76.37,-77.28
"Marret et al., 1140",Y577,78.35,-74.48
"Marret et al., 1139",Y578,77.01,-72.63
"Marret et al., 1138",Y579,75.22,-74.94
"Marret et al., 1137",Y580,76.28,-74.24
"Marret et al., 1136",Z584,72.69,73.73
"Marret et al., 1135",Z585,74,79.02
"Marret et al., 1134",Z586,74,81
"Marret et al., 1133",Z590,73.53,79.92
"Marret et al., 1132",Z591,73.89,81.67
"Marret et al., 1131",Z593,73.99,77.2
"Marret et al., 1130",Z595,72.96,73.14
"Marret et al., 1129",Z596,73.21,72.89
"Marret et al., 1128",Z597,73.61,72.95
"Marret et al., 1127",Z598,74,72.66
"Marret et al., 1126",Z599,73.22,75.62
"Marret et al., 1125",Z601,73.65,74.84
"Marret et al., 1124",Z602,48.77,-125.5
"Marret et al., 1123",Z603,48.91,-126.89
"Marret et al., 1122",Z604,48.98,-126.88
"Marret et al., 1121",Z605,49.22,-127.31
"Marret et al., 1120",Z606,54.36,-148.47
"Marret et al., 1119",N607,58.86,9.35
"Marret et al., 1118",N608,58.73,9.09
"Marret et al., 1117",N609,58.48,8.85
"Marret et al., 1116",N610,58.35,8.61
"Marret et al., 1115",N611,58.13,8
"Marret et al., 1114",N612,58.07,7.81
"Marret et al., 1113",N613,58.08,7.14
"Marret et al., 1112",N614,58.05,7.07
"Marret et al., 1111",N615,58.09,7.8
"Marret et al., 1110",N616,58.28,6.66
"Marret et al., 1109",N620,59.17,5.4
"Marret et al., 1108",N622,59.63,5.46
"Marret et al., 1107",N623,59.8,5.26
"Marret et al., 1106",N626,60.52,5.09
"Marret et al., 1105",N628,61,5
"Marret et al., 1104",N629,61.16,5.21
"Marret et al., 1103",N630,61.41,5.06
"Marret et al., 1102",N631,61.73,5.17
"Marret et al., 1101",N632,61.84,5.15
"Marret et al., 1100",N633,62.02,5.41
"Marret et al., 1099",N634,62.46,6.15
"Marret et al., 1098",N635,62.6,6.6
"Marret et al., 1097",N636,62.84,7.1
"Marret et al., 1096",N637,63.1,7.72
"Marret et al., 1095",N638,63.48,9.16
"Marret et al., 1094",C645,38.4,-73.24
"Marret et al., 1093",C646,38.86,-72.71
"Marret et al., 1092",C648,39.22,-72.28
"Marret et al., 1091",C650,39.26,-72.3
"Marret et al., 1090",C651,39.29,-72.42
"Marret et al., 1089",C652,43.07,-55.83
"Marret et al., 1088",C653,43.48,-54.87
"Marret et al., 1087",C654,44.68,-55.52
"Marret et al., 1086",C655,44.5,-55.87
"Marret et al., 1085",C656,45.37,-56.61
"Marret et al., 1084",C657,43.3,-57.64
"Marret et al., 1083",C658,43.31,-57.33
"Marret et al., 1082",C659,42.46,-59.61
"Marret et al., 1081",C660,43.12,-59.99
"Marret et al., 1080",C661,43.41,-60
"Marret et al., 1079",C662,43.05,-62.16
"Marret et al., 1078",C663,43.53,-61.82
"Marret et al., 1077",C664,43.18,-63.54
"Marret et al., 1076",C665,42.89,-61.74
"Marret et al., 1075",C666,42.92,-61.82
"Marret et al., 1074",C667,42.73,-61.64
"Marret et al., 1073",C668,42.17,-62.59
"Marret et al., 1072",C669,43.88,-62.8
"Marret et al., 1071",C670,45.11,-60.79
"Marret et al., 1070",C671,45.16,-60.83
"Marret et al., 1069",C672,45.17,-60.84
"Marret et al., 1068",C673,45.2,-60.86
"Marret et al., 1067",C674,45.21,-60.87
"Marret et al., 1066",C675,45.22,-60.9
"Marret et al., 1065",C676,45.23,-60.89
"Marret et al., 1064",C677,43.34,-63.5
"Marret et al., 1063",A682,48.85,-51.88
"Marret et al., 1062",A683,48.91,-51.8
"Marret et al., 1061",A685,43.31,-49.14
"Marret et al., 1060",Y686,76.29,-74.16
"Marret et al., 1059",Y687,76.29,-74.25
"Marret et al., 1058",Y688,76.41,-77.46
"Marret et al., 1057",Y689,76.84,-74.98
"Marret et al., 1056",Y690,76.8,-74.94
"Marret et al., 1055",Y691,76.96,-72.41
"Marret et al., 1054",Y692,76.31,-71.87
"Marret et al., 1053",Y693,77.01,-72.34
"Marret et al., 1052",Y694,77.08,-76.65
"Marret et al., 1051",Y695,77.79,-75.21
"Marret et al., 1050",Y696,75.26,-76.08
"Marret et al., 1049",Y697,75.58,-70.79
"Marret et al., 1048",A698,46.8,-8.67
"Marret et al., 1047",A699,57.03,-10.05
"Marret et al., 1046",A701,60.58,-22.07
"Marret et al., 1045",A703,43.1,-55.27
"Marret et al., 1044",A704,44.65,-55.62
"Marret et al., 1043",Z705,75.85,-76.44
"Marret et al., 1042",Z706,75.22,-78.71
"Marret et al., 1041",Z707,76.22,-74.66
"Marret et al., 1040",Z708,76.19,-71.06
"Marret et al., 1039",Z710,76.58,-69.08
"Marret et al., 1038",Z714,76.54,-69.08
"Marret et al., 1037",Z716,76.56,-69.21
"Marret et al., 1036",Z717,76.53,-69.13
"Marret et al., 1035",Z718,76.53,-69.1
"Marret et al., 1034",Z720,75.22,-78.71
"Marret et al., 1033",Z721,75.16,-97
"Marret et al., 1032",Z722,76.99,-98
"Marret et al., 1031",Z723,77.26,-96.52
"Marret et al., 1030",Z726,77.07,-89.52
"Marret et al., 1029",Z727,75.74,-93.5
"Marret et al., 1028",Z728,75,-93
"Marret et al., 1027",Z729,74.25,-85.98
"Marret et al., 1026",Z730,74.24,-83.06
"Marret et al., 1025",Z731,73.49,-85.01
"Marret et al., 1024",Z732,73.11,-84.85
"Marret et al., 1023",Z733,74.54,-99.47
"Marret et al., 1022",Z735,60.95,-66.43
"Marret et al., 1021",Z736,73.69,-162.66
"Marret et al., 1020",Z737,76.25,-167
"Marret et al., 1019",Z738,71.75,-156.5
"Marret et al., 1018",Z739,67.87,-167.9
"Marret et al., 1017",Z740,76.12,-86.47
"Marret et al., 1016",Z743,78.3,-104
"Marret et al., 1015",Z746,69.75,-137.88
"Marret et al., 1014",O747,62,-178
"Marret et al., 1013",O748,62.492,-177.033
"Marret et al., 1012",O749,63,-177
"Marret et al., 1011",O750,63,-175
"Marret et al., 1010",O754,63.05,-174.45
"Marret et al., 1009",O755,59.913,-176.325
"Marret et al., 1008",O756,60.817,-177.05
"Marret et al., 1007",O757,61.12,-173.427
"Marret et al., 1006",O758,62.663,-175.645
"Marret et al., 1005",O759,63.012,-173.032
"Marret et al., 1004",O760,61.148,-172.305
"Marret et al., 1003",O761,60.537,-172.113
"Marret et al., 1002",O762,60.642,-175.133
"Marret et al., 1001",O763,58.895,-170.438
"Marret et al., 1000",O764,58.455,-169.218
"Marret et al., 999",O765,58.367,-168.933
"Marret et al., 998",O766,57.303,-166.058
"Marret et al., 997",O767,57.122,-165.688
"Marret et al., 996",O768,56.397,-165.303
"Marret et al., 995",O769,56.058,-165.315
"Marret et al., 994",O770,55.203,-165.298
"Marret et al., 993",O771,55.4,-165.9
"Marret et al., 992",O772,55.65,-166.537
"Marret et al., 991",O773,56.25,-168.353
"Marret et al., 990",O774,58.075,-167.85
"Marret et al., 989",O775,60.023,-170.628
