source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,1,0,56,32.67284,31.979,33.37912,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,4,0,56,30.9636,29.68495,32.28579,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,21,0,56,26.15092,25.06645,27.26707,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,28,0,56,25.31072,24.32355,26.32403,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,37,0,56,24.57621,23.20111,26.00245,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,56,0,56,21.64607,20.65856,22.65909,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
"Harland, 1979",N atlantic,core,400,47.4,-9.15,0,0,12,47.4,NA,NA,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Harland, 1979",N atlantic,core,400,47.4,-9.15,1,0,12,47.12486,46.42974,47.82977,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Harland, 1979",N atlantic,core,400,47.4,-9.15,4,0,12,45.51011,44.22746,46.82777,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Harland, 1979",N atlantic,core,400,47.4,-9.15,12,0,12,43.27999,42.0897,44.50175,TRUE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Houben et al., 2011",S Atlantic,core,511,-51,-46.9,30,30,34,-56.39489,-57.49324,-55.31546,TRUE,TRUE,291,Colorado-San Jorge subplate,"Vaes et al., 2023",1,1
"Houben et al., 2011",S Atlantic,core,511,-51,-46.9,34,30,34,-56.86221,-58.14148,-55.60815,TRUE,TRUE,291,Colorado-San Jorge subplate,"Vaes et al., 2023",1,1
"Habib and Drugg, 1983",USA,core,534,28.4,-75.42,130,130,156,24.64743,23.82904,25.48387,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1983",USA,core,534,28.4,-75.42,131,130,156,24.46138,23.66959,25.26984,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1983",USA,core,534,28.4,-75.42,134,130,156,24.87891,23.9893,25.78966,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1983",USA,core,534,28.4,-75.42,152,130,156,20.44476,17.73733,23.34935,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1983",USA,core,534,28.4,-75.42,156,130,156,19.04445,16.20939,22.09035,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,0,0,60,49,NA,NA,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,1,0,60,48.69097,47.99568,49.39571,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,4,0,60,47.01357,45.73038,48.33064,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,21,0,60,42.47915,41.39235,43.5926,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,28,0,60,41.80576,40.81682,42.81701,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,37,0,60,41.41019,40.03192,42.83248,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
