source,location,lat,long
"Marret et al., 2020",Y576,76.37,-77.28
"Marret et al., 2020",Z470,75.02,119.89
"Marret et al., 2020",Y575,76.29,-72.03
"Marret et al., 2020",Z471,75,114.53
"Marret et al., 2020",Y574,76.99,-75
"Marret et al., 2020",Z493,74.5,114.28
"Marret et al., 2020",Y573,77.34,-76.48
"Marret et al., 2020",Z492,74.5,119.83
"Marret et al., 2020",Y572,78.99,-73.33
"Marret et al., 2020",Z460,74.49,115.98
"Marret et al., 2020",Y571,76.38,-77.41
"Marret et al., 2020",Z462,74.49,119.96
"Marret et al., 2020",Y570,76.27,-74.66
"Marret et al., 2020",Z455,73.83,117.87
"Marret et al., 2020",Y569,77.85,-74.79
"Marret et al., 2020",Z461,73.5,117.85
"Marret et al., 2020",P841,59.04,-150
"Marret et al., 2020",Y568,76.98,-75.05
"Marret et al., 2020",A2165,59.8143,-39.7987
"Marret et al., 2020",X1729,27.321,-82.6136
"Marret et al., 2020",P845,55.687,-153.95
"Marret et al., 2020",Y567,78.34,-74.7
"Marret et al., 2020",FR10/95 GC-3,-13.2421,124.0033
"Marret et al., 2020",Y566,76.96,-72.48
"Marret et al., 2020",FR10/95 GC-10,-18.1488,116.022
"Marret et al., 2020",Z564,74.51,-159.98
"Marret et al., 2020",FR10/95 GC-16,-20.9972,112.9892
"Marret et al., 2020",Z563,74,-161.4
"Marret et al., 2020",FR2/96 GC-19,-12.3793,114.2827
"Marret et al., 2020",Z562,74.45,52.43
"Marret et al., 2020",FR2/96 GC-25,-16.9108,115.265
"Marret et al., 2020",Z561,74.14,55.52
"Marret et al., 2020",FR2/96 GC-26,-16.9,115.5167
"Marret et al., 2020",Z560,73.62,50.72
"Marret et al., 2020",SHI-9014,-5.7761,126.9714
"Marret et al., 2020",Z559,78.32,70.03
"Marret et al., 2020",SHI-9029,-9.2466,116.6833
"Marret et al., 2020",Z558,77,70.01
"Marret et al., 2020",SHI-9034,-9.1616,111.0116
"Marret et al., 2020",Z557,75.62,56.43
"Marret et al., 2020",L2166,57.7117,-48.0115
"Marret et al., 2020",X1728,23.878,-82.4433
"Marret et al., 2020",SHI-9042,-8.0393,106.723
"Marret et al., 2020",Z556,75.43,57.32
"Marret et al., 2020",B-9407,-0.437,96.825
"Marret et al., 2020",Z555,76.72,59.77
"Marret et al., 2020",B-9409,1.536,96.671
"Marret et al., 2020",Z554,71.26,37.92
"Marret et al., 2020",B-9420,3.542,93.451
"Marret et al., 2020",Z553,71.07,37.05
"Marret et al., 2020",B-9431,1.736,96.238
"Marret et al., 2020",Z552,70.83,36.27
"Marret et al., 2020",B-9435,-1.718,98.358
"Marret et al., 2020",Z551,71.39,31.97
"Marret et al., 2020",B-9436,-1.634,96.273
"Marret et al., 2020",Z550,71.42,30.42
"Marret et al., 2020",B-9437,-1.518,96.352
"Marret et al., 2020",Z549,72.29,57.64
"Marret et al., 2020",GeoB4024-1,27.678,-13.432
"Marret et al., 2020",Z548,73.22,58.55
"Marret et al., 2020",GeoB4025-2,27.748,-13.488
"Marret et al., 2020",Z547,70.35,-133.8
"Marret et al., 2020",L2167,58.0472,-47.0393
"Marret et al., 2020",X1727,28.8377,-86.6592
"Marret et al., 2020",GeoB4026-1,27.808,-13.543
"Marret et al., 2020",Z546,74.5,-92.58
"Marret et al., 2020",GeoB4213-1,29.697,-11.078
"Marret et al., 2020",Z543,74.82,-97.18
"Marret et al., 2020",GeoB4216-2,30.632,-12.397
"Marret et al., 2020",Z542,71.12,45.25
"Marret et al., 2020",GeoB4225-3,29.275,-11.782
"Marret et al., 2020",Z541,71.74,42.61
"Marret et al., 2020",GeoB4226-1,29.32,-11.833
"Marret et al., 2020",Z540,70.34,34.37
"Marret et al., 2020",GeoB4230-1,29.128,-12.597
"Marret et al., 2020",Z539,69.49,33.83
"Marret et al., 2020",GeoB4231-2,29.088,-12.555
"Marret et al., 2020",Z538,69.37,33.72
"Marret et al., 2020",GeoB4233-2,28.975,-13.33
"Marret et al., 2020",Z537,69.3,33.54
"Marret et al., 2020",GeoB4236-2,28.783,-13.095
"Marret et al., 2020",Z536,69.18,33.56
"Marret et al., 2020",GeoB5530-3,29.303,-17.897
"Marret et al., 2020",Z535,69.11,33.42
"Marret et al., 2020",L2168,58.6035,-46.3795
"Marret et al., 2020",X1726,28.8373,-88.6592
"Marret et al., 2020",A534,67.14,-31.88
"Marret et al., 2020",GeoB5533-1,27.682,-17.693
"Marret et al., 2020",A533,67.15,-30.82
"Marret et al., 2020",GeoB5536-3,27.537,-16.135
"Marret et al., 2020",A532,64.3,-24.23
"Marret et al., 2020",GeoB5539-2,27.537,-14.355
"Marret et al., 2020",GeoB5540-3,27.535,-14.175
"Marret et al., 2020",Z531,77.02,116.05
"Marret et al., 2020",GeoB5548-3,27.992,-13.518
"Marret et al., 2020",Z530,75.54,114.5
"Marret et al., 2020",GeoB5549-2,27.978,-13.695
