location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
Massignano,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,alcicornu,NA,50% C15r,"Van Mourik and Brinkhuis, 2005",0.5 in mag_C15r,FO,NA,NA,35.458,35.40511903
1053,Gonyaulacaceae,Gonyaulacoideae,Impagidinium,velorum,NA,50% C15r,"Van Mourik et al., 2001",0.5 in mag_C15r,FO,NA,NA,35.458,24.4813
Broyon,Pareodiniaceae,all,Protobatioladinium,lunare,NA,100% in richteri,"Monteil, 1993",1 in amm_t_Micracanthoceras ponti / Burckhardticeras peroni,LO,NA,NA,145.05,28.212
Arctic Basin,Pareodiniaceae,all,Imbatodinium,kondratjevii,NA,0% in albani,"Bujak et al., 2022",0 in amm_b_Progalbanites albani,LO,NA,NA,145.1,68.346
Volga Basin,Pareodiniaceae,all,Gochteodinia,tuberculata,NA,0% V. virgatus,"Harding et al., 2011",0 in amm_r_Virgatites virgatus,LO,NA,NA,145.1,43.87
North Sea Compilation,Pareodiniaceae,all,Kalyptea,stegasta,NA,100% pallasioides,"Riding and Thomas, 1992",1 in amm_b_Pavlovia pallasioides,LO,NA,NA,146.27,36.44725
Arctic Basin,Pareodiniaceae,all,Pareodinia,asperata,NA,0% in pallasioides,"Bujak et al., 2022",0 in amm_b_Pavlovia pallasioides,LO,NA,NA,146.76,69.1096
Denmark3,Pareodiniaceae,all,Imbatodinium,kondratjevii,NA,40% in tithonian,"Poulsen and Riding, 2003 sensu Riding et al., 2010",0.4 in stage_Tithonian,FO,NA,NA,146.784,41.22816
Kimmeridge Clay N Yorkshire,Pareodiniaceae,all,Gochteodinia,mutabilis,NA,50% in pectinatus,"Bailey et al., 1997",0.5 in amm_b_Pectinatites pectinatus,FO,NA,NA,147.06,37.808
1053,Gonyaulacaceae,Gonyaulacoideae,Pentadinium,lophophorum,NA,0% C15n,"Van Mourik et al., 2001",0 in mag_C15n,LO,NA,NA,35.336,24.4996
913,Gonyaulacaceae,Gonyaulacoideae,Corrudinium,incompositum,NA,25% C15n,"Firth, 1996",0.25 in mag_C15n,LO,NA,NA,35.2775,66.480625
605,Areoligeraceae,all,Palynodinium,grallator,NA,20% C29r,"Habib and Drugg, 1987",0.2 in mag_C29r,FO,NA,NA,66.244,35.07416
mid-Waipara,Areoligeraceae,all,Palynodinium,minus,NA,95% in Maastrichtian,"Willumsen, 2012",0.95 in stage_Maastrichtian,FO,NA,NA,66.3465,-54.136715
North Sea Compilation,Gonyaulacaceae,Leptodinioideae,Cymososphaeridium,validum,NA,0% paratollia,"Costa and Davey, 1992",0 in amm_b_Paratollia/Platylenticeras,FO,NA,NA,136.59,36.0866
North Sea Compilation,Gonyaulacaceae,Leptodinioideae,Dichadogonyaulax,culmula,NA,0% paratollia,"Costa and Davey, 1992",0 in amm_b_Paratollia/Platylenticeras,LO,NA,NA,136.59,36.0866
North Sea Compilation,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,complex,NA,0% paratollia,"Costa and Davey, 1992",0 in amm_b_Paratollia/Platylenticeras,FO,NA,NA,136.59,36.0866
Rodmell,Order Gonyaulacales Family uncertain,uncertain,Exochosphaeridium,majus,NA,0% in mantelli,"Tocher and Jarvis, 1996",0 in amm_b_Mantelliceras mantelli,LO,NA,NA,100.25,42.495
Rodmell,Order Gonyaulacales Family uncertain,uncertain,Tanyosphaeridium,salpinx,NA,0% in mantelli,"Tocher and Jarvis, 1996",0 in amm_b_Mantelliceras mantelli,LO,NA,NA,100.25,42.495
Rodmell,Order Gonyaulacales Family uncertain,uncertain,Tanyosphaeridium,variecalamus,NA,0% in mantelli,"Tocher and Jarvis, 1996",0 in amm_b_Mantelliceras mantelli,LO,NA,NA,100.25,42.495
North Sea Compilation,Areoligeraceae,all,Tenua,hystrix,NA,90% Maastrichtian,"Costa and Davey, 1992",0.9 in stage_Maastrichtian,LO,NA,NA,66.653,41.7653
Scotian Margin,Areoligeraceae,all,Circulodinium,distinctum,NA,85% in Maastrichtian,"Williams et al., 1993",0.85 in stage_Maastrichtian,LO,NA,NA,66.9595,35.9199375
Scotian Margin,Areoligeraceae,all,Palynodinium,grallator,NA,85% in Maastrichtian,"Williams et al., 1993",0.85 in stage_Maastrichtian,LO,NA,NA,66.9595,35.9199375
Central Danish Trough,Gonyaulacaceae,other,Chytroeisphaeridia,cerastes,NA,100% paratollia,"Heilmann-Clausen, 1987",1 in amm_b_Paratollia/Platylenticeras,LO,NA,NA,134.55,39.9715
Central Danish Trough,Gonyaulacaceae,other,Chytroeisphaeridia,cerastes,NA,0% albidum,"Heilmann-Clausen, 1987",0 in amm_b_Peregrinoceras albidum,FO,NA,NA,137.81,39.0913
Scotian Margin,Areoligeraceae,all,Senoniasphaera,inornata,NA,75% in maastrichtian,"Williams et al., 1993",0.75 in stage_Maastrichtian,FO,NA,NA,67.5725,35.9965625
1172,Areoligeraceae,all,Glaphyrocysta,ordinata,NA,20% in C30n,"Bijl et al., 2021",0.2 in mag_C30n,FO,NA,NA,67.8184,-60.985496
Landana,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,proprium,NA,40% P3b,"Steeman et al., 2020",0.4 in plfor_B_P3b,LO,NA,NA,61.21365,-10.5
1172,Gonyaulacaceae,Cribroperidinioideae,Diphyes,colligerum,NA,33% in C26r,"Bijl et al., 2021",0.33 in mag_C26r,FO,NA,NA,61.27447,-59.7421493
Viborg-1,Gonyaulacaceae,Cribroperidinioideae,Disphaerogena,carposphaeropsis,NA,50% between 0% NP4 and 100% NP5,"Heilmann-Clausen, 1985",0.5 between 0 nan_n_NP4 1 nan_n_NP5,LO,NA,NA,61.321945,45.7321945
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Diphyes,colligerum,NA,15% in P3B,"Powell, 1992",0.15 in plfor_B_P3b,FO,NA,NA,61.4037125,41.31697604
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,inflata,NA,15% in P3B,"Powell, 1992",0.15 in plfor_B_P3b,FO,NA,NA,61.4037125,41.31697604
Faroe-Shetland,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,delicata,NA,10% in P3b,"Mudge and Bujak, 2001",0.1 in plfor_B_P3b,LO,NA,NA,61.441725,48.6441725
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Danea,californica,NA,100% in P3A,"Powell, 1992",1 in plfor_B_P3a,LO,NA,NA,61.51775,41.32647917
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Disphaerogena,carposphaeropsis,NA,100% in P3A,"Powell, 1992",1 in plfor_B_P3a,LO,NA,NA,61.51775,41.32647917
Haldager 1,Gonyaulacaceae,Leptodinioideae,Ctenidodinium,elegantulum,NA,0% paratollia,"Davey, 1982",0 in amm_b_Paratollia/Platylenticeras,FO,NA,NA,136.59,40.2548
